
--- 2026-09-22 17:19:56.792798 开始记录 ---
Ilog_system_init:log init ok, buf=4096, filter=1
Iio_system_init:IO System Init OK
Iw25qxx_drv_init:W25Q init start
Iw25qxx_drv_init:W25Q init OK (ID:0xEF17)
Iads1255_init:ADS0: Initting
Iads1255_init:Init ok
Iads1255_init:ADS1: Initting
Iads1255_init:Init ok
Iadc_system_init:ADS Init OK
RE35354,4985216,5177270,5034717,5145082
RE35355,4985204,5177313,5033098,5146701
RE35356,4984804,5177329,5033195,5145893
RE35357,4985015,5177056,5033796,5145968
RE35358,4984870,5177743,5032160,5145022
RE35359,4985190,5177545,5032440,5145466
RE35360,4985039,5177393,5031337,5144073
RE35361,4984856,5177404,5032893,5144185
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35362,4985172,5177525,5031950,5144239
RE35363,4985279,5177602,5032288,5143784
RE35364,4984938,5177362,5031551,5142297
RE35365,4985708,5177614,5029458,5144684
RE35366,4985169,5177456,5030014,5142972
RE35367,4985318,5177555,5030557,5144514
RE35368,4985351,5177546,5030000,5144358
RE35369,4985222,5177485,5031940,5142542
RE35370,4985072,5177642,5032261,5145351
RE35371,4985008,5177322,5031106,5145501
RE35372,4985187,5177427,5033105,5144990
RE35373,4985472,5177325,5033310,5144599
RE35374,4985307,5177082,5033431,5145297
RE35375,4984939,5177339,5033578,5147361
RE35376,4985475,5177483,5033804,5146343
RE35377,4985574,5177706,5034330,5147585
RE35378,4985304,5177403,5035368,5148706
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35379,4985350,5177168,5035553,5148791
RE35380,4985695,5177527,5035851,5148502
RE35381,4985276,5177487,5036145,5149921
RE35382,4985244,5177611,5035886,5150014
RE35383,4985279,5176725,5036662,5148814
RE35384,4985051,5177238,5037395,5150612
RE35385,4985446,5177494,5037594,5149129
RE35386,4985609,5177502,5038199,5151028
RE35387,4985325,5177410,5037461,5149922
RE35388,4985260,5177352,5037432,5150341
RE35389,4985362,5177336,5037399,5149906
RE35390,4985376,5177558,5038841,5150497
RE35391,4985217,5177353,5039587,5150133
RE35392,4985379,5177103,5038612,5149333
RE35393,4985099,5177187,5037077,5148515
RE35394,4985374,5177423,5037626,5148508
RE35395,4985558,5177448,5035767,5150074
RE35396,4984953,5177207,5035628,5149474
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35397,4985062,5177401,5037017,5149764
RE35398,4985182,5177104,5034799,5147416
RE35399,4985236,5177457,5036648,5148752
RE35400,4985168,5177368,5036894,5148535
RE35401,4985014,5177295,5035406,5147571
RE35402,4984987,5177173,5034670,5146442
RE35403,4984988,5177521,5034610,5147691
RE35404,4985176,5177449,5033734,5145994
RE35405,4985227,5177564,5034033,5147342
RE35406,4985224,5177061,5033326,5145615
RE35407,4985180,5177451,5032810,5144742
RE35408,4985147,5177437,5032489,5147055
RE35409,4985233,5177264,5033395,5145821
RE35410,4985211,5177512,5032429,5144639
RE35411,4985328,5177379,5033290,5144786
RE35412,4985112,5177603,5030548,5144903
RE35413,4985197,5177559,5031152,5145603
RE35414,4985430,5177664,5033399,5144842
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35415,4985099,5177537,5031278,5144765
RE35416,4985431,5177452,5030246,5145974
RE35417,4985156,5177396,5032586,5145564
RE35418,4985187,5177491,5032031,5145667
RE35419,4985369,5177427,5033107,5146875
RE35420,4985256,5177778,5033068,5146305
RE35421,4985142,5177388,5034103,5145094
RE35422,4985236,5177421,5033975,5147333
RE35423,4985113,5177512,5034749,5147040
RE35424,4985485,5177336,5034762,5147628
RE35425,4985430,5177630,5034381,5149838
RE35426,4985085,5177391,5034770,5147719
RE35427,4985378,5177610,5035491,5149322
RE35428,4985253,5177065,5036250,5149171
RE35429,4985222,5177548,5036437,5148938
RE35430,4985202,5177764,5037434,5150054
RE35431,4985327,5177796,5039296,5151000
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35432,4984965,5177561,5039439,5151698
RE35433,4985522,5177471,5038327,5150732
RE35434,4985278,5177640,5038649,5148926
RE35435,4985077,5177467,5037504,5149282
RE35436,4985039,5177600,5038320,5150249
RE35437,4985431,5177211,5040805,5149479
RE35438,4985419,5177262,5037506,5150215
RE35439,4985346,5177558,5037604,5151314
RE35440,4985342,5177526,5036729,5152474
RE35441,4985001,5177509,5037411,5148568
RE35442,4985236,5177103,5035600,5150514
RE35443,4984855,5177256,5038011,5147737
RE35444,4984960,5177343,5035898,5148264
RE35445,4985256,5177175,5035959,5147385
RE35446,4985257,5177247,5034700,5147751
RE35447,4984767,5177427,5034817,5147425
RE35448,4985081,5177609,5032575,5145479
RE35449,4985588,5177461,5032479,5146217
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35450,4985331,5177519,5032467,5146255
RE35451,4985352,5177670,5032307,5145235
RE35452,4985543,5177607,5030989,5144880
RE35453,4985596,5177314,5031692,5143091
RE35454,4985453,5177403,5029330,5143231
RE35455,4985298,5177648,5030488,5143203
RE35456,4985324,5177787,5030189,5142232
RE35457,4985316,5177791,5029807,5144528
RE35458,4985290,5177705,5029576,5144302
RE35459,4985269,5177849,5030657,5143412
RE35460,4985281,5177445,5031051,5142437
RE35461,4985150,5177545,5031299,5142451
RE35462,4985266,5177457,5030589,5143727
RE35463,4985665,5177628,5033165,5145164
RE35464,4985315,5177487,5033214,5145657
RE35465,4985392,5177547,5031639,5146162
RE35466,4985384,5177595,5033437,5144773
RE35467,4985328,5177564,5033725,5146401
ADC_LIMIT:4985935,5178139,5042482,5154990,4983439,5175378,5028858,5141121
RE35468,4985515,5177576,5034728,5148641
RE35469,4985060,5177466,5033911,5148762
RE35470,4985499,5177349,5035396,5147760
RE35471,4985105,5177441,5037501,5148849
RE35472,4985248,5177176,5035147,5150236
RE35473,4985230,5177494,5037164,5150846
RE35474,4985176,5177771,5039255,5153261
RE35475,4985010,5177486,5038351,5151355
RE35476,4985149,5177674,5038690,5151332
RE35477,4985153,5177684,5038712,5152517
RE35478,4985512,5177590,5039902,5150821
RE35479,4985221,5177393,5040134,5152438
RE35480,4985125,5177174,5039043,5151862
RE35481,4985173,5177319,5039302,5150939
RE35482,4985200,5177342,5038683,5150900
RE35483,4985505,5177604,5038127,5151871
RE35484,4985365,5177460,5038670,5151334
